Label   ImageSource
Pike    C:\Users\Davey\OneDrive - Office 365 Fontys\Individuele Opdracht\S63-1\ML\Fishare - ML - Project\Assets\T2\Pike\p1.jpeg
Pike    C:\Users\Davey\OneDrive - Office 365 Fontys\Individuele Opdracht\S63-1\ML\Fishare - ML - Project\Assets\T2\Pike\p2.jpeg
Pike    C:\Users\Davey\OneDrive - Office 365 Fontys\Individuele Opdracht\S63-1\ML\Fishare - ML - Project\Assets\T2\Pike\p3.jpeg
Pike    C:\Users\Davey\OneDrive - Office 365 Fontys\Individuele Opdracht\S63-1\ML\Fishare - ML - Project\Assets\T2\Pike\p4.jpeg
Pike    C:\Users\Davey\OneDrive - Office 365 Fontys\Individuele Opdracht\S63-1\ML\Fishare - ML - Project\Assets\T2\Pike\p5.jpeg
Pike    C:\Users\Davey\OneDrive - Office 365 Fontys\Individuele Opdracht\S63-1\ML\Fishare - ML - Project\Assets\T2\Pike\p6.jpeg
Pike    C:\Users\Davey\OneDrive - Office 365 Fontys\Individuele Opdracht\S63-1\ML\Fishare - ML - Project\Assets\T2\Pike\p7.jpeg
Pike    C:\Users\Davey\OneDrive - Office 365 Fontys\Individuele Opdracht\S63-1\ML\Fishare - ML - Project\Assets\T2\Pike\p8.jpeg
Pike    C:\Users\Davey\OneDrive - Office 365 Fontys\Individuele Opdracht\S63-1\ML\Fishare - ML - Project\Assets\T2\Pike\p9.jpeg
Pike    C:\Users\Davey\OneDrive - Office 365 Fontys\Individuele Opdracht\S63-1\ML\Fishare - ML - Project\Assets\T2\Pike\p10.jpeg
Pike    C:\Users\Davey\OneDrive - Office 365 Fontys\Individuele Opdracht\S63-1\ML\Fishare - ML - Project\Assets\T2\Pike\p11.jpeg
Pike    C:\Users\Davey\OneDrive - Office 365 Fontys\Individuele Opdracht\S63-1\ML\Fishare - ML - Project\Assets\T2\Pike\p12.jpeg
Pike    C:\Users\Davey\OneDrive - Office 365 Fontys\Individuele Opdracht\S63-1\ML\Fishare - ML - Project\Assets\T2\Pike\p13.jpeg
Pike    C:\Users\Davey\OneDrive - Office 365 Fontys\Individuele Opdracht\S63-1\ML\Fishare - ML - Project\Assets\T2\Pike\p14.jpeg
Pike    C:\Users\Davey\OneDrive - Office 365 Fontys\Individuele Opdracht\S63-1\ML\Fishare - ML - Project\Assets\T2\Pike\p15.jpeg
Pike    C:\Users\Davey\OneDrive - Office 365 Fontys\Individuele Opdracht\S63-1\ML\Fishare - ML - Project\Assets\T2\Pike\p16.jpeg
Pike    C:\Users\Davey\OneDrive - Office 365 Fontys\Individuele Opdracht\S63-1\ML\Fishare - ML - Project\Assets\T2\Pike\p17.jpeg
Pike    C:\Users\Davey\OneDrive - Office 365 Fontys\Individuele Opdracht\S63-1\ML\Fishare - ML - Project\Assets\T2\Pike\p18.jpeg
Pike    C:\Users\Davey\OneDrive - Office 365 Fontys\Individuele Opdracht\S63-1\ML\Fishare - ML - Project\Assets\T2\Pike\p19.jpeg
Pike    C:\Users\Davey\OneDrive - Office 365 Fontys\Individuele Opdracht\S63-1\ML\Fishare - ML - Project\Assets\T2\Pike\p20.jpeg
Carp    C:\Users\Davey\OneDrive - Office 365 Fontys\Individuele Opdracht\S63-1\ML\Fishare - ML - Project\Assets\T2\Carp\c1.jpeg
Carp    C:\Users\Davey\OneDrive - Office 365 Fontys\Individuele Opdracht\S63-1\ML\Fishare - ML - Project\Assets\T2\Carp\c2.jpeg
Carp    C:\Users\Davey\OneDrive - Office 365 Fontys\Individuele Opdracht\S63-1\ML\Fishare - ML - Project\Assets\T2\Carp\c3.jpeg
Carp    C:\Users\Davey\OneDrive - Office 365 Fontys\Individuele Opdracht\S63-1\ML\Fishare - ML - Project\Assets\T2\Carp\c4.jpeg
Carp    C:\Users\Davey\OneDrive - Office 365 Fontys\Individuele Opdracht\S63-1\ML\Fishare - ML - Project\Assets\T2\Carp\c5.jpeg
Carp    C:\Users\Davey\OneDrive - Office 365 Fontys\Individuele Opdracht\S63-1\ML\Fishare - ML - Project\Assets\T2\Carp\c6.jpeg
Carp    C:\Users\Davey\OneDrive - Office 365 Fontys\Individuele Opdracht\S63-1\ML\Fishare - ML - Project\Assets\T2\Carp\c7.jpeg
Carp    C:\Users\Davey\OneDrive - Office 365 Fontys\Individuele Opdracht\S63-1\ML\Fishare - ML - Project\Assets\T2\Carp\c8.jpeg
Carp    C:\Users\Davey\OneDrive - Office 365 Fontys\Individuele Opdracht\S63-1\ML\Fishare - ML - Project\Assets\T2\Carp\c9.jpeg
Carp    C:\Users\Davey\OneDrive - Office 365 Fontys\Individuele Opdracht\S63-1\ML\Fishare - ML - Project\Assets\T2\Carp\c10.jpeg
Carp    C:\Users\Davey\OneDrive - Office 365 Fontys\Individuele Opdracht\S63-1\ML\Fishare - ML - Project\Assets\T2\Carp\c11.jpeg
Carp    C:\Users\Davey\OneDrive - Office 365 Fontys\Individuele Opdracht\S63-1\ML\Fishare - ML - Project\Assets\T2\Carp\c12.jpeg
Carp    C:\Users\Davey\OneDrive - Office 365 Fontys\Individuele Opdracht\S63-1\ML\Fishare - ML - Project\Assets\T2\Carp\c13.jpeg
Carp    C:\Users\Davey\OneDrive - Office 365 Fontys\Individuele Opdracht\S63-1\ML\Fishare - ML - Project\Assets\T2\Carp\c14.jpeg
Carp    C:\Users\Davey\OneDrive - Office 365 Fontys\Individuele Opdracht\S63-1\ML\Fishare - ML - Project\Assets\T2\Carp\c15.jpeg
Carp    C:\Users\Davey\OneDrive - Office 365 Fontys\Individuele Opdracht\S63-1\ML\Fishare - ML - Project\Assets\T2\Carp\c16.jpeg
Carp    C:\Users\Davey\OneDrive - Office 365 Fontys\Individuele Opdracht\S63-1\ML\Fishare - ML - Project\Assets\T2\Carp\c17.jpeg
Carp    C:\Users\Davey\OneDrive - Office 365 Fontys\Individuele Opdracht\S63-1\ML\Fishare - ML - Project\Assets\T2\Carp\c18.jpeg
Carp    C:\Users\Davey\OneDrive - Office 365 Fontys\Individuele Opdracht\S63-1\ML\Fishare - ML - Project\Assets\T2\Carp\c19.jpeg
Carp    C:\Users\Davey\OneDrive - Office 365 Fontys\Individuele Opdracht\S63-1\ML\Fishare - ML - Project\Assets\T2\Carp\c20.jpeg
