Label	ImageSource
Carp	C:\Users\Davey\OneDrive - Office 365 Fontys\Individuele Opdracht\S63-1\ML\Fishare - ML - Project\Assets\Carp\11d59b-20060922-holdingcarp.jpg
Carp	C:\Users\Davey\OneDrive - Office 365 Fontys\Individuele Opdracht\S63-1\ML\Fishare - ML - Project\Assets\Carp\1200px-Cyprinus_carpio.jpeg
Carp	C:\Users\Davey\OneDrive - Office 365 Fontys\Individuele Opdracht\S63-1\ML\Fishare - ML - Project\Assets\Carp\1537456296JuMdXJU0ro.jpeg
Carp	C:\Users\Davey\OneDrive - Office 365 Fontys\Individuele Opdracht\S63-1\ML\Fishare - ML - Project\Assets\Carp\15746739575887_277_main.jpg
Carp	C:\Users\Davey\OneDrive - Office 365 Fontys\Individuele Opdracht\S63-1\ML\Fishare - ML - Project\Assets\Carp\24296403_1669913733074745_3612940420407254626_n-1_5c59cd96.jpg
Carp	C:\Users\Davey\OneDrive - Office 365 Fontys\Individuele Opdracht\S63-1\ML\Fishare - ML - Project\Assets\Carp\9a23ae5568515902c373b8dc5553e58f.jpg
Carp	C:\Users\Davey\OneDrive - Office 365 Fontys\Individuele Opdracht\S63-1\ML\Fishare - ML - Project\Assets\Carp\carpfarm_lake_btw_revealed_berry_jansen_header-1050x644.jpg
Carp	C:\Users\Davey\OneDrive - Office 365 Fontys\Individuele Opdracht\S63-1\ML\Fishare - ML - Project\Assets\Carp\Fisherman-Slovakia-grass-carp.jpg
Carp	C:\Users\Davey\OneDrive - Office 365 Fontys\Individuele Opdracht\S63-1\ML\Fishare - ML - Project\Assets\Carp\IMG_2098.jpg
Carp	C:\Users\Davey\OneDrive - Office 365 Fontys\Individuele Opdracht\S63-1\ML\Fishare - ML - Project\Assets\Carp\Lake-Heritage-scaley-mirror-carp-e1572367256440.jpg
Carp	C:\Users\Davey\OneDrive - Office 365 Fontys\Individuele Opdracht\S63-1\ML\Fishare - ML - Project\Assets\Carp\LongIsland-Carp.jpg
